dimdateid,datetype,fulldate,yearnum,yearbegindate,yearenddate,daynumofweek,daynumofmonth,daynumofquarter,daynumofyear,dayofweekname,dayofweekabbreviation,juliandaynumofyear,isweekday,isfederalusholiday,holidaydescription,islastdayofweek,islastdayofmonth,islastdayofquarter,islastdayofyear,weekofyearbegindate,weekofyearenddate,weekofmonthbegindate,weekofmonthenddate,weekofquarterbegindate,weekofquarterenddate,weeknumofmonth,weeknumofquarter,weeknumofyear,monthname,monthnameabbreviation,monthbegindate,monthenddate,monthnumofyear,monthformatyyyymm,quarternumofyear,quarterbegindate,quarterenddate,quarterformatyyyyqq,quarterformatqq,fiscalmonthofyear,fiscalquarter,fiscalyear,fiscalyearmonthyyyymm,fiscalyearquarteryyyyqq
20111112,Normal,11/12/2011,2011,1/1/2011,12/31/2011,7,12,43,316,Saturday,Sat,2011316,N,N,Not a Holiday,Y,N,N,N,11/6/2011,11/12/2011,11/6/2011,11/12/2011,11/6/2011,11/12/2011,2,7,46,November,Nov,11/1/2011,11/30/2011,11,2011/11,4,10/1/2011,12/31/2011,2011Q4,Q4,2,1,2012,201202,2012Q1
20111113,Normal,11/13/2011,2011,1/1/2011,12/31/2011,1,13,44,317,Sunday,Sun,2011317,N,N,Not a Holiday,N,N,N,N,11/13/2011,11/19/2011,11/13/2011,11/19/2011,11/13/2011,11/19/2011,3,8,47,November,Nov,11/1/2011,11/30/2011,11,2011/11,4,10/1/2011,12/31/2011,2011Q4,Q4,2,1,2012,201202,2012Q1
20111114,Normal,11/14/2011,2011,1/1/2011,12/31/2011,2,14,45,318,Monday,Mon,2011318,Y,N,Not a Holiday,N,N,N,N,11/13/2011,11/19/2011,11/13/2011,11/19/2011,11/13/2011,11/19/2011,3,8,47,November,Nov,11/1/2011,11/30/2011,11,2011/11,4,10/1/2011,12/31/2011,2011Q4,Q4,2,1,2012,201202,2012Q1
20111115,Normal,11/15/2011,2011,1/1/2011,12/31/2011,3,15,46,319,Tuesday,Tue,2011319,Y,N,Not a Holiday,N,N,N,N,11/13/2011,11/19/2011,11/13/2011,11/19/2011,11/13/2011,11/19/2011,3,8,47,November,Nov,11/1/2011,11/30/2011,11,2011/11,4,10/1/2011,12/31/2011,2011Q4,Q4,2,1,2012,201202,2012Q1
20111116,Normal,11/16/2011,2011,1/1/2011,12/31/2011,4,16,47,320,Wednesday,Wed,2011320,Y,N,Not a Holiday,N,N,N,N,11/13/2011,11/19/2011,11/13/2011,11/19/2011,11/13/2011,11/19/2011,3,8,47,November,Nov,11/1/2011,11/30/2011,11,2011/11,4,10/1/2011,12/31/2011,2011Q4,Q4,2,1,2012,201202,2012Q1
20111117,Normal,11/17/2011,2011,1/1/2011,12/31/2011,5,17,48,321,Thursday,Thu,2011321,Y,N,Not a Holiday,N,N,N,N,11/13/2011,11/19/2011,11/13/2011,11/19/2011,11/13/2011,11/19/2011,3,8,47,November,Nov,11/1/2011,11/30/2011,11,2011/11,4,10/1/2011,12/31/2011,2011Q4,Q4,2,1,2012,201202,2012Q1
20111118,Normal,11/18/2011,2011,1/1/2011,12/31/2011,6,18,49,322,Friday,Fri,2011322,Y,N,Not a Holiday,N,N,N,N,11/13/2011,11/19/2011,11/13/2011,11/19/2011,11/13/2011,11/19/2011,3,8,47,November,Nov,11/1/2011,11/30/2011,11,2011/11,4,10/1/2011,12/31/2011,2011Q4,Q4,2,1,2012,201202,2012Q1
20111119,Normal,11/19/2011,2011,1/1/2011,12/31/2011,7,19,50,323,Saturday,Sat,2011323,N,N,Not a Holiday,Y,N,N,N,11/13/2011,11/19/2011,11/13/2011,11/19/2011,11/13/2011,11/19/2011,3,8,47,November,Nov,11/1/2011,11/30/2011,11,2011/11,4,10/1/2011,12/31/2011,2011Q4,Q4,2,1,2012,201202,2012Q1
20111120,Normal,11/20/2011,2011,1/1/2011,12/31/2011,1,20,51,324,Sunday,Sun,2011324,N,N,Not a Holiday,N,N,N,N,11/20/2011,11/26/2011,11/20/2011,11/26/2011,11/20/2011,11/26/2011,4,9,48,November,Nov,11/1/2011,11/30/2011,11,2011/11,4,10/1/2011,12/31/2011,2011Q4,Q4,2,1,2012,201202,2012Q1
20111121,Normal,11/21/2011,2011,1/1/2011,12/31/2011,2,21,52,325,Monday,Mon,2011325,Y,N,Not a Holiday,N,N,N,N,11/20/2011,11/26/2011,11/20/2011,11/26/2011,11/20/2011,11/26/2011,4,9,48,November,Nov,11/1/2011,11/30/2011,11,2011/11,4,10/1/2011,12/31/2011,2011Q4,Q4,2,1,2012,201202,2012Q1
20111122,Normal,11/22/2011,2011,1/1/2011,12/31/2011,3,22,53,326,Tuesday,Tue,2011326,Y,N,Not a Holiday,N,N,N,N,11/20/2011,11/26/2011,11/20/2011,11/26/2011,11/20/2011,11/26/2011,4,9,48,November,Nov,11/1/2011,11/30/2011,11,2011/11,4,10/1/2011,12/31/2011,2011Q4,Q4,2,1,2012,201202,2012Q1
20111123,Normal,11/23/2011,2011,1/1/2011,12/31/2011,4,23,54,327,Wednesday,Wed,2011327,Y,N,Not a Holiday,N,N,N,N,11/20/2011,11/26/2011,11/20/2011,11/26/2011,11/20/2011,11/26/2011,4,9,48,November,Nov,11/1/2011,11/30/2011,11,2011/11,4,10/1/2011,12/31/2011,2011Q4,Q4,2,1,2012,201202,2012Q1
20111124,Normal,11/24/2011,2011,1/1/2011,12/31/2011,5,24,55,328,Thursday,Thu,2011328,Y,Y,Thanksgiving,N,N,N,N,11/20/2011,11/26/2011,11/20/2011,11/26/2011,11/20/2011,11/26/2011,4,9,48,November,Nov,11/1/2011,11/30/2011,11,2011/11,4,10/1/2011,12/31/2011,2011Q4,Q4,2,1,2012,201202,2012Q1
20111125,Normal,11/25/2011,2011,1/1/2011,12/31/2011,6,25,56,329,Friday,Fri,2011329,Y,N,Not a Holiday,N,N,N,N,11/20/2011,11/26/2011,11/20/2011,11/26/2011,11/20/2011,11/26/2011,4,9,48,November,Nov,11/1/2011,11/30/2011,11,2011/11,4,10/1/2011,12/31/2011,2011Q4,Q4,2,1,2012,201202,2012Q1
20111126,Normal,11/26/2011,2011,1/1/2011,12/31/2011,7,26,57,330,Saturday,Sat,2011330,N,N,Not a Holiday,Y,N,N,N,11/20/2011,11/26/2011,11/20/2011,11/26/2011,11/20/2011,11/26/2011,4,9,48,November,Nov,11/1/2011,11/30/2011,11,2011/11,4,10/1/2011,12/31/2011,2011Q4,Q4,2,1,2012,201202,2012Q1
20111127,Normal,11/27/2011,2011,1/1/2011,12/31/2011,1,27,58,331,Sunday,Sun,2011331,N,N,Not a Holiday,N,N,N,N,11/27/2011,12/3/2011,11/27/2011,11/30/2011,11/27/2011,12/3/2011,5,10,49,November,Nov,11/1/2011,11/30/2011,11,2011/11,4,10/1/2011,12/31/2011,2011Q4,Q4,2,1,2012,201202,2012Q1
20111128,Normal,11/28/2011,2011,1/1/2011,12/31/2011,2,28,59,332,Monday,Mon,2011332,Y,N,Not a Holiday,N,N,N,N,11/27/2011,12/3/2011,11/27/2011,11/30/2011,11/27/2011,12/3/2011,5,10,49,November,Nov,11/1/2011,11/30/2011,11,2011/11,4,10/1/2011,12/31/2011,2011Q4,Q4,2,1,2012,201202,2012Q1
20111129,Normal,11/29/2011,2011,1/1/2011,12/31/2011,3,29,60,333,Tuesday,Tue,2011333,Y,N,Not a Holiday,N,N,N,N,11/27/2011,12/3/2011,11/27/2011,11/30/2011,11/27/2011,12/3/2011,5,10,49,November,Nov,11/1/2011,11/30/2011,11,2011/11,4,10/1/2011,12/31/2011,2011Q4,Q4,2,1,2012,201202,2012Q1
20111130,Normal,11/30/2011,2011,1/1/2011,12/31/2011,4,30,61,334,Wednesday,Wed,2011334,Y,N,Not a Holiday,N,Y,N,N,11/27/2011,12/3/2011,11/27/2011,11/30/2011,11/27/2011,12/3/2011,5,10,49,November,Nov,11/1/2011,11/30/2011,11,2011/11,4,10/1/2011,12/31/2011,2011Q4,Q4,2,1,2012,201202,2012Q1
20111201,Normal,12/1/2011,2011,1/1/2011,12/31/2011,5,1,62,335,Thursday,Thu,2011335,Y,N,Not a Holiday,N,N,N,N,11/27/2011,12/3/2011,12/1/2011,12/3/2011,11/27/2011,12/3/2011,1,10,49,December,Dec,12/1/2011,12/31/2011,12,2011/12,4,10/1/2011,12/31/2011,2011Q4,Q4,3,1,2012,201203,2012Q1
20111202,Normal,12/2/2011,2011,1/1/2011,12/31/2011,6,2,63,336,Friday,Fri,2011336,Y,N,Not a Holiday,N,N,N,N,11/27/2011,12/3/2011,12/1/2011,12/3/2011,11/27/2011,12/3/2011,1,10,49,December,Dec,12/1/2011,12/31/2011,12,2011/12,4,10/1/2011,12/31/2011,2011Q4,Q4,3,1,2012,201203,2012Q1
20111203,Normal,12/3/2011,2011,1/1/2011,12/31/2011,7,3,64,337,Saturday,Sat,2011337,N,N,Not a Holiday,Y,N,N,N,11/27/2011,12/3/2011,12/1/2011,12/3/2011,11/27/2011,12/3/2011,1,10,49,December,Dec,12/1/2011,12/31/2011,12,2011/12,4,10/1/2011,12/31/2011,2011Q4,Q4,3,1,2012,201203,2012Q1
20111204,Normal,12/4/2011,2011,1/1/2011,12/31/2011,1,4,65,338,Sunday,Sun,2011338,N,N,Not a Holiday,N,N,N,N,12/4/2011,12/10/2011,12/4/2011,12/10/2011,12/4/2011,12/10/2011,2,11,50,December,Dec,12/1/2011,12/31/2011,12,2011/12,4,10/1/2011,12/31/2011,2011Q4,Q4,3,1,2012,201203,2012Q1
20111205,Normal,12/5/2011,2011,1/1/2011,12/31/2011,2,5,66,339,Monday,Mon,2011339,Y,N,Not a Holiday,N,N,N,N,12/4/2011,12/10/2011,12/4/2011,12/10/2011,12/4/2011,12/10/2011,2,11,50,December,Dec,12/1/2011,12/31/2011,12,2011/12,4,10/1/2011,12/31/2011,2011Q4,Q4,3,1,2012,201203,2012Q1
20111206,Normal,12/6/2011,2011,1/1/2011,12/31/2011,3,6,67,340,Tuesday,Tue,2011340,Y,N,Not a Holiday,N,N,N,N,12/4/2011,12/10/2011,12/4/2011,12/10/2011,12/4/2011,12/10/2011,2,11,50,December,Dec,12/1/2011,12/31/2011,12,2011/12,4,10/1/2011,12/31/2011,2011Q4,Q4,3,1,2012,201203,2012Q1
20111207,Normal,12/7/2011,2011,1/1/2011,12/31/2011,4,7,68,341,Wednesday,Wed,2011341,Y,N,Not a Holiday,N,N,N,N,12/4/2011,12/10/2011,12/4/2011,12/10/2011,12/4/2011,12/10/2011,2,11,50,December,Dec,12/1/2011,12/31/2011,12,2011/12,4,10/1/2011,12/31/2011,2011Q4,Q4,3,1,2012,201203,2012Q1
20111208,Normal,12/8/2011,2011,1/1/2011,12/31/2011,5,8,69,342,Thursday,Thu,2011342,Y,N,Not a Holiday,N,N,N,N,12/4/2011,12/10/2011,12/4/2011,12/10/2011,12/4/2011,12/10/2011,2,11,50,December,Dec,12/1/2011,12/31/2011,12,2011/12,4,10/1/2011,12/31/2011,2011Q4,Q4,3,1,2012,201203,2012Q1
20111209,Normal,12/9/2011,2011,1/1/2011,12/31/2011,6,9,70,343,Friday,Fri,2011343,Y,N,Not a Holiday,N,N,N,N,12/4/2011,12/10/2011,12/4/2011,12/10/2011,12/4/2011,12/10/2011,2,11,50,December,Dec,12/1/2011,12/31/2011,12,2011/12,4,10/1/2011,12/31/2011,2011Q4,Q4,3,1,2012,201203,2012Q1
20111210,Normal,12/10/2011,2011,1/1/2011,12/31/2011,7,10,71,344,Saturday,Sat,2011344,N,N,Not a Holiday,Y,N,N,N,12/4/2011,12/10/2011,12/4/2011,12/10/2011,12/4/2011,12/10/2011,2,11,50,December,Dec,12/1/2011,12/31/2011,12,2011/12,4,10/1/2011,12/31/2011,2011Q4,Q4,3,1,2012,201203,2012Q1
20111211,Normal,12/11/2011,2011,1/1/2011,12/31/2011,1,11,72,345,Sunday,Sun,2011345,N,N,Not a Holiday,N,N,N,N,12/11/2011,12/17/2011,12/11/2011,12/17/2011,12/11/2011,12/17/2011,3,12,51,December,Dec,12/1/2011,12/31/2011,12,2011/12,4,10/1/2011,12/31/2011,2011Q4,Q4,3,1,2012,201203,2012Q1
20111212,Normal,12/12/2011,2011,1/1/2011,12/31/2011,2,12,73,346,Monday,Mon,2011346,Y,N,Not a Holiday,N,N,N,N,12/11/2011,12/17/2011,12/11/2011,12/17/2011,12/11/2011,12/17/2011,3,12,51,December,Dec,12/1/2011,12/31/2011,12,2011/12,4,10/1/2011,12/31/2011,2011Q4,Q4,3,1,2012,201203,2012Q1
20111213,Normal,12/13/2011,2011,1/1/2011,12/31/2011,3,13,74,347,Tuesday,Tue,2011347,Y,N,Not a Holiday,N,N,N,N,12/11/2011,12/17/2011,12/11/2011,12/17/2011,12/11/2011,12/17/2011,3,12,51,December,Dec,12/1/2011,12/31/2011,12,2011/12,4,10/1/2011,12/31/2011,2011Q4,Q4,3,1,2012,201203,2012Q1
20111214,Normal,12/14/2011,2011,1/1/2011,12/31/2011,4,14,75,348,Wednesday,Wed,2011348,Y,N,Not a Holiday,N,N,N,N,12/11/2011,12/17/2011,12/11/2011,12/17/2011,12/11/2011,12/17/2011,3,12,51,December,Dec,12/1/2011,12/31/2011,12,2011/12,4,10/1/2011,12/31/2011,2011Q4,Q4,3,1,2012,201203,2012Q1
20111215,Normal,12/15/2011,2011,1/1/2011,12/31/2011,5,15,76,349,Thursday,Thu,2011349,Y,N,Not a Holiday,N,N,N,N,12/11/2011,12/17/2011,12/11/2011,12/17/2011,12/11/2011,12/17/2011,3,12,51,December,Dec,12/1/2011,12/31/2011,12,2011/12,4,10/1/2011,12/31/2011,2011Q4,Q4,3,1,2012,201203,2012Q1
20111216,Normal,12/16/2011,2011,1/1/2011,12/31/2011,6,16,77,350,Friday,Fri,2011350,Y,N,Not a Holiday,N,N,N,N,12/11/2011,12/17/2011,12/11/2011,12/17/2011,12/11/2011,12/17/2011,3,12,51,December,Dec,12/1/2011,12/31/2011,12,2011/12,4,10/1/2011,12/31/2011,2011Q4,Q4,3,1,2012,201203,2012Q1
20111217,Normal,12/17/2011,2011,1/1/2011,12/31/2011,7,17,78,351,Saturday,Sat,2011351,N,N,Not a Holiday,Y,N,N,N,12/11/2011,12/17/2011,12/11/2011,12/17/2011,12/11/2011,12/17/2011,3,12,51,December,Dec,12/1/2011,12/31/2011,12,2011/12,4,10/1/2011,12/31/2011,2011Q4,Q4,3,1,2012,201203,2012Q1
20111218,Normal,12/18/2011,2011,1/1/2011,12/31/2011,1,18,79,352,Sunday,Sun,2011352,N,N,Not a Holiday,N,N,N,N,12/18/2011,12/24/2011,12/18/2011,12/24/2011,12/18/2011,12/24/2011,4,13,52,December,Dec,12/1/2011,12/31/2011,12,2011/12,4,10/1/2011,12/31/2011,2011Q4,Q4,3,1,2012,201203,2012Q1
20111219,Normal,12/19/2011,2011,1/1/2011,12/31/2011,2,19,80,353,Monday,Mon,2011353,Y,N,Not a Holiday,N,N,N,N,12/18/2011,12/24/2011,12/18/2011,12/24/2011,12/18/2011,12/24/2011,4,13,52,December,Dec,12/1/2011,12/31/2011,12,2011/12,4,10/1/2011,12/31/2011,2011Q4,Q4,3,1,2012,201203,2012Q1
20111220,Normal,12/20/2011,2011,1/1/2011,12/31/2011,3,20,81,354,Tuesday,Tue,2011354,Y,N,Not a Holiday,N,N,N,N,12/18/2011,12/24/2011,12/18/2011,12/24/2011,12/18/2011,12/24/2011,4,13,52,December,Dec,12/1/2011,12/31/2011,12,2011/12,4,10/1/2011,12/31/2011,2011Q4,Q4,3,1,2012,201203,2012Q1
20111221,Normal,12/21/2011,2011,1/1/2011,12/31/2011,4,21,82,355,Wednesday,Wed,2011355,Y,N,Not a Holiday,N,N,N,N,12/18/2011,12/24/2011,12/18/2011,12/24/2011,12/18/2011,12/24/2011,4,13,52,December,Dec,12/1/2011,12/31/2011,12,2011/12,4,10/1/2011,12/31/2011,2011Q4,Q4,3,1,2012,201203,2012Q1
20111222,Normal,12/22/2011,2011,1/1/2011,12/31/2011,5,22,83,356,Thursday,Thu,2011356,Y,N,Not a Holiday,N,N,N,N,12/18/2011,12/24/2011,12/18/2011,12/24/2011,12/18/2011,12/24/2011,4,13,52,December,Dec,12/1/2011,12/31/2011,12,2011/12,4,10/1/2011,12/31/2011,2011Q4,Q4,3,1,2012,201203,2012Q1
20111223,Normal,12/23/2011,2011,1/1/2011,12/31/2011,6,23,84,357,Friday,Fri,2011357,Y,N,Not a Holiday,N,N,N,N,12/18/2011,12/24/2011,12/18/2011,12/24/2011,12/18/2011,12/24/2011,4,13,52,December,Dec,12/1/2011,12/31/2011,12,2011/12,4,10/1/2011,12/31/2011,2011Q4,Q4,3,1,2012,201203,2012Q1
20111224,Normal,12/24/2011,2011,1/1/2011,12/31/2011,7,24,85,358,Saturday,Sat,2011358,N,N,Not a Holiday,Y,N,N,N,12/18/2011,12/24/2011,12/18/2011,12/24/2011,12/18/2011,12/24/2011,4,13,52,December,Dec,12/1/2011,12/31/2011,12,2011/12,4,10/1/2011,12/31/2011,2011Q4,Q4,3,1,2012,201203,2012Q1
20111225,Normal,12/25/2011,2011,1/1/2011,12/31/2011,1,25,86,359,Sunday,Sun,2011359,N,N,Not a Holiday,N,N,N,N,12/25/2011,12/31/2011,12/25/2011,12/31/2011,12/25/2011,12/31/2011,5,14,53,December,Dec,12/1/2011,12/31/2011,12,2011/12,4,10/1/2011,12/31/2011,2011Q4,Q4,3,1,2012,201203,2012Q1
20111226,Normal,12/26/2011,2011,1/1/2011,12/31/2011,2,26,87,360,Monday,Mon,2011360,Y,Y,Christmas,N,N,N,N,12/25/2011,12/31/2011,12/25/2011,12/31/2011,12/25/2011,12/31/2011,5,14,53,December,Dec,12/1/2011,12/31/2011,12,2011/12,4,10/1/2011,12/31/2011,2011Q4,Q4,3,1,2012,201203,2012Q1
20111227,Normal,12/27/2011,2011,1/1/2011,12/31/2011,3,27,88,361,Tuesday,Tue,2011361,Y,N,Not a Holiday,N,N,N,N,12/25/2011,12/31/2011,12/25/2011,12/31/2011,12/25/2011,12/31/2011,5,14,53,December,Dec,12/1/2011,12/31/2011,12,2011/12,4,10/1/2011,12/31/2011,2011Q4,Q4,3,1,2012,201203,2012Q1
20111228,Normal,12/28/2011,2011,1/1/2011,12/31/2011,4,28,89,362,Wednesday,Wed,2011362,Y,N,Not a Holiday,N,N,N,N,12/25/2011,12/31/2011,12/25/2011,12/31/2011,12/25/2011,12/31/2011,5,14,53,December,Dec,12/1/2011,12/31/2011,12,2011/12,4,10/1/2011,12/31/2011,2011Q4,Q4,3,1,2012,201203,2012Q1
20111229,Normal,12/29/2011,2011,1/1/2011,12/31/2011,5,29,90,363,Thursday,Thu,2011363,Y,N,Not a Holiday,N,N,N,N,12/25/2011,12/31/2011,12/25/2011,12/31/2011,12/25/2011,12/31/2011,5,14,53,December,Dec,12/1/2011,12/31/2011,12,2011/12,4,10/1/2011,12/31/2011,2011Q4,Q4,3,1,2012,201203,2012Q1
20111230,Normal,12/30/2011,2011,1/1/2011,12/31/2011,6,30,91,364,Friday,Fri,2011364,Y,N,Not a Holiday,N,N,N,N,12/25/2011,12/31/2011,12/25/2011,12/31/2011,12/25/2011,12/31/2011,5,14,53,December,Dec,12/1/2011,12/31/2011,12,2011/12,4,10/1/2011,12/31/2011,2011Q4,Q4,3,1,2012,201203,2012Q1
20111231,Normal,12/31/2011,2011,1/1/2011,12/31/2011,7,31,92,365,Saturday,Sat,2011365,N,N,Not a Holiday,Y,Y,Y,Y,12/25/2011,12/31/2011,12/25/2011,12/31/2011,12/25/2011,12/31/2011,5,14,53,December,Dec,12/1/2011,12/31/2011,12,2011/12,4,10/1/2011,12/31/2011,2011Q4,Q4,3,1,2012,201203,2012Q1
20120101,Normal,1/1/2012,2012,1/1/2012,12/31/2012,1,1,1,1,Sunday,Sun,2012001,N,N,Not a Holiday,N,N,N,N,1/1/2012,1/7/2012,1/1/2012,1/7/2012,1/1/2012,1/7/2012,1,1,1,January,Jan,1/1/2012,1/31/2012,1,2012/01,1,1/1/2012,3/31/2012,2012Q1,Q1,4,2,2012,201204,2012Q2
20120102,Normal,1/2/2012,2012,1/1/2012,12/31/2012,2,2,2,2,Monday,Mon,2012002,Y,Y,New Years,N,N,N,N,1/1/2012,1/7/2012,1/1/2012,1/7/2012,1/1/2012,1/7/2012,1,1,1,January,Jan,1/1/2012,1/31/2012,1,2012/01,1,1/1/2012,3/31/2012,2012Q1,Q1,4,2,2012,201204,2012Q2
20120103,Normal,1/3/2012,2012,1/1/2012,12/31/2012,3,3,3,3,Tuesday,Tue,2012003,Y,N,Not a Holiday,N,N,N,N,1/1/2012,1/7/2012,1/1/2012,1/7/2012,1/1/2012,1/7/2012,1,1,1,January,Jan,1/1/2012,1/31/2012,1,2012/01,1,1/1/2012,3/31/2012,2012Q1,Q1,4,2,2012,201204,2012Q2
20120104,Normal,1/4/2012,2012,1/1/2012,12/31/2012,4,4,4,4,Wednesday,Wed,2012004,Y,N,Not a Holiday,N,N,N,N,1/1/2012,1/7/2012,1/1/2012,1/7/2012,1/1/2012,1/7/2012,1,1,1,January,Jan,1/1/2012,1/31/2012,1,2012/01,1,1/1/2012,3/31/2012,2012Q1,Q1,4,2,2012,201204,2012Q2
20120105,Normal,1/5/2012,2012,1/1/2012,12/31/2012,5,5,5,5,Thursday,Thu,2012005,Y,N,Not a Holiday,N,N,N,N,1/1/2012,1/7/2012,1/1/2012,1/7/2012,1/1/2012,1/7/2012,1,1,1,January,Jan,1/1/2012,1/31/2012,1,2012/01,1,1/1/2012,3/31/2012,2012Q1,Q1,4,2,2012,201204,2012Q2
20120106,Normal,1/6/2012,2012,1/1/2012,12/31/2012,6,6,6,6,Friday,Fri,2012006,Y,N,Not a Holiday,N,N,N,N,1/1/2012,1/7/2012,1/1/2012,1/7/2012,1/1/2012,1/7/2012,1,1,1,January,Jan,1/1/2012,1/31/2012,1,2012/01,1,1/1/2012,3/31/2012,2012Q1,Q1,4,2,2012,201204,2012Q2
20120107,Normal,1/7/2012,2012,1/1/2012,12/31/2012,7,7,7,7,Saturday,Sat,2012007,N,N,Not a Holiday,Y,N,N,N,1/1/2012,1/7/2012,1/1/2012,1/7/2012,1/1/2012,1/7/2012,1,1,1,January,Jan,1/1/2012,1/31/2012,1,2012/01,1,1/1/2012,3/31/2012,2012Q1,Q1,4,2,2012,201204,2012Q2
20120108,Normal,1/8/2012,2012,1/1/2012,12/31/2012,1,8,8,8,Sunday,Sun,2012008,N,N,Not a Holiday,N,N,N,N,1/8/2012,1/14/2012,1/8/2012,1/14/2012,1/8/2012,1/14/2012,2,2,2,January,Jan,1/1/2012,1/31/2012,1,2012/01,1,1/1/2012,3/31/2012,2012Q1,Q1,4,2,2012,201204,2012Q2
20120109,Normal,1/9/2012,2012,1/1/2012,12/31/2012,2,9,9,9,Monday,Mon,2012009,Y,N,Not a Holiday,N,N,N,N,1/8/2012,1/14/2012,1/8/2012,1/14/2012,1/8/2012,1/14/2012,2,2,2,January,Jan,1/1/2012,1/31/2012,1,2012/01,1,1/1/2012,3/31/2012,2012Q1,Q1,4,2,2012,201204,2012Q2
20120110,Normal,1/10/2012,2012,1/1/2012,12/31/2012,3,10,10,10,Tuesday,Tue,2012010,Y,N,Not a Holiday,N,N,N,N,1/8/2012,1/14/2012,1/8/2012,1/14/2012,1/8/2012,1/14/2012,2,2,2,January,Jan,1/1/2012,1/31/2012,1,2012/01,1,1/1/2012,3/31/2012,2012Q1,Q1,4,2,2012,201204,2012Q2
20120111,Normal,1/11/2012,2012,1/1/2012,12/31/2012,4,11,11,11,Wednesday,Wed,2012011,Y,N,Not a Holiday,N,N,N,N,1/8/2012,1/14/2012,1/8/2012,1/14/2012,1/8/2012,1/14/2012,2,2,2,January,Jan,1/1/2012,1/31/2012,1,2012/01,1,1/1/2012,3/31/2012,2012Q1,Q1,4,2,2012,201204,2012Q2
20120112,Normal,1/12/2012,2012,1/1/2012,12/31/2012,5,12,12,12,Thursday,Thu,2012012,Y,N,Not a Holiday,N,N,N,N,1/8/2012,1/14/2012,1/8/2012,1/14/2012,1/8/2012,1/14/2012,2,2,2,January,Jan,1/1/2012,1/31/2012,1,2012/01,1,1/1/2012,3/31/2012,2012Q1,Q1,4,2,2012,201204,2012Q2
20120113,Normal,1/13/2012,2012,1/1/2012,12/31/2012,6,13,13,13,Friday,Fri,2012013,Y,N,Not a Holiday,N,N,N,N,1/8/2012,1/14/2012,1/8/2012,1/14/2012,1/8/2012,1/14/2012,2,2,2,January,Jan,1/1/2012,1/31/2012,1,2012/01,1,1/1/2012,3/31/2012,2012Q1,Q1,4,2,2012,201204,2012Q2
20120114,Normal,1/14/2012,2012,1/1/2012,12/31/2012,7,14,14,14,Saturday,Sat,2012014,N,N,Not a Holiday,Y,N,N,N,1/8/2012,1/14/2012,1/8/2012,1/14/2012,1/8/2012,1/14/2012,2,2,2,January,Jan,1/1/2012,1/31/2012,1,2012/01,1,1/1/2012,3/31/2012,2012Q1,Q1,4,2,2012,201204,2012Q2
20120115,Normal,1/15/2012,2012,1/1/2012,12/31/2012,1,15,15,15,Sunday,Sun,2012015,N,N,Not a Holiday,N,N,N,N,1/15/2012,1/21/2012,1/15/2012,1/21/2012,1/15/2012,1/21/2012,3,3,3,January,Jan,1/1/2012,1/31/2012,1,2012/01,1,1/1/2012,3/31/2012,2012Q1,Q1,4,2,2012,201204,2012Q2
20120116,Normal,1/16/2012,2012,1/1/2012,12/31/2012,2,16,16,16,Monday,Mon,2012016,Y,Y,Lee-Jackson-King,N,N,N,N,1/15/2012,1/21/2012,1/15/2012,1/21/2012,1/15/2012,1/21/2012,3,3,3,January,Jan,1/1/2012,1/31/2012,1,2012/01,1,1/1/2012,3/31/2012,2012Q1,Q1,4,2,2012,201204,2012Q2
20120117,Normal,1/17/2012,2012,1/1/2012,12/31/2012,3,17,17,17,Tuesday,Tue,2012017,Y,N,Not a Holiday,N,N,N,N,1/15/2012,1/21/2012,1/15/2012,1/21/2012,1/15/2012,1/21/2012,3,3,3,January,Jan,1/1/2012,1/31/2012,1,2012/01,1,1/1/2012,3/31/2012,2012Q1,Q1,4,2,2012,201204,2012Q2
20120118,Normal,1/18/2012,2012,1/1/2012,12/31/2012,4,18,18,18,Wednesday,Wed,2012018,Y,N,Not a Holiday,N,N,N,N,1/15/2012,1/21/2012,1/15/2012,1/21/2012,1/15/2012,1/21/2012,3,3,3,January,Jan,1/1/2012,1/31/2012,1,2012/01,1,1/1/2012,3/31/2012,2012Q1,Q1,4,2,2012,201204,2012Q2
20120119,Normal,1/19/2012,2012,1/1/2012,12/31/2012,5,19,19,19,Thursday,Thu,2012019,Y,N,Not a Holiday,N,N,N,N,1/15/2012,1/21/2012,1/15/2012,1/21/2012,1/15/2012,1/21/2012,3,3,3,January,Jan,1/1/2012,1/31/2012,1,2012/01,1,1/1/2012,3/31/2012,2012Q1,Q1,4,2,2012,201204,2012Q2
20120120,Normal,1/20/2012,2012,1/1/2012,12/31/2012,6,20,20,20,Friday,Fri,2012020,Y,N,Not a Holiday,N,N,N,N,1/15/2012,1/21/2012,1/15/2012,1/21/2012,1/15/2012,1/21/2012,3,3,3,January,Jan,1/1/2012,1/31/2012,1,2012/01,1,1/1/2012,3/31/2012,2012Q1,Q1,4,2,2012,201204,2012Q2
20120121,Normal,1/21/2012,2012,1/1/2012,12/31/2012,7,21,21,21,Saturday,Sat,2012021,N,N,Not a Holiday,Y,N,N,N,1/15/2012,1/21/2012,1/15/2012,1/21/2012,1/15/2012,1/21/2012,3,3,3,January,Jan,1/1/2012,1/31/2012,1,2012/01,1,1/1/2012,3/31/2012,2012Q1,Q1,4,2,2012,201204,2012Q2
